x,y,z
465083.1798,4428191.951,2132.106385
465082.8255,4428214.423,2155.747551
465082.9603,4428236.383,2174.882223
465082.4086,4428258.831,2193.528625
465083.5277,4428281.907,2208.365125
465083.6696,4428304.08,2205.945922
465082.7848,4428325.551,2210.200173
465082.9937,4428348.738,2228.528892
465083.1758,4428371.252,2243.074166
465083.2326,4428393.656,2249.043378
465083.3362,4428415.65,2250.932165
465083.0809,4428438.467,2252.897385
465083.662,4428460.93,2259.004262
465083.8592,4428483.394,2266.801308
465083.2096,4428505.481,2269.357925
465083.0064,4428526.827,2262.411347
465082.9964,4428550.493,2246.033645
465083.1555,4428574.984,2225.244908
465082.9469,4428594.886,2211.112689
465082.5235,4428616.352,2191.364384
465105.166,4427966.964,2285.187144
465105.3601,4427989.858,2275.236926
465105.2786,4428012.079,2261.926316
465105.1263,4428035.07,2248.966792
465104.8393,4428057.137,2237.507867
465105.41,4428078.661,2228.292658
465105.047,4428101.917,2210.354104
465105.5883,4428124.05,2179.884636
465105.899,4428147.05,2144.285788
465105.9422,4428168.668,2128.588843
465105.5923,4428191.494,2125.969946
465105.1655,4428214.31,2140.064906
465103.9642,4428236.702,2166.21851
465104.9378,4428257.719,2178.153863
465105.3253,4428283.231,2188.321225
465104.9164,4428302.982,2185.62473
465105.25,4428326.675,2197.64386
465104.6398,4428348.986,2218.847819
465105.4883,4428371.473,2232.039358
465105.0224,4428393.515,2239.049764
465104.9756,4428416.145,2240.575902
465104.8251,4428437.775,2242.403446
465104.6534,4428460.819,2249.936743
465104.7128,4428482.607,2256.788189
465105.0927,4428505.484,2261.627497
465104.606,4428526.812,2257.569689
465105.1418,4428549.71,2247.203829
465104.9812,4428573.719,2224.630328
465104.0721,4428594.872,2209.612292
465104.9654,4428616.15,2192.422776
465126.7517,4427967.215,2288.686677
465127.4774,4427989.858,2277.71845
465127.2795,4428012.236,2266.812611
465127.0381,4428035.003,2255.31542
465127.3395,4428057.169,2246.611791
465127.3549,4428078.699,2240.406011
465127.0346,4428102.191,2209.07137
465127.2527,4428124.54,2178.107821
465127.1441,4428146.434,2150.163937
465127.3662,4428169.734,2132.420795
465126.904,4428191.433,2124.862194
465126.5082,4428213.871,2126.294333
465126.8182,4428236.423,2144.106013
465127.125,4428258.765,2155.605986
465128.4092,4428281.653,2161.332249
465127.3767,4428303.065,2170.680419
465127.0734,4428326.855,2191.990206
465127.0299,4428348.743,2211.795293
465127.0082,4428370.899,2222.49138
465127.0377,4428392.977,2228.066906
465126.6528,4428416.257,2228.714976
465127.4823,4428438.57,2229.097123
465126.6993,4428460.81,2237.082868
465127.3533,4428483.463,2246.917989
465125.8334,4428505.029,2253.912279
465127.0888,4428528.014,2260.627586
465126.9691,4428550.374,2248.181171
465127.3078,4428573.297,2234.347503
465127.6422,4428594.803,2230.103015
465127.5168,4428617.354,2202.412476
465148.9887,4427967.268,2295.807317
465148.9866,4427989.709,2285.02402
465148.9969,4428012.224,2272.909561
465149.1659,4428035.058,2260.66135
465149.0159,4428056.953,2249.071539
465149.1622,4428079.235,2238.267048
465149.1076,4428102.124,2207.907596
465149.1191,4428124.03,2177.349007
465149.3229,4428146.493,2152.994762
465149.3598,4428169.936,2138.46939
465149.0889,4428189.69,2128.425449
465149.085,4428214.195,2121.192943
465148.8783,4428236.881,2125.643954
465149.3659,4428259.738,2140.00841
465148.857,4428281.048,2145.151948
465149.169,4428303.752,2163.927911
465150.5124,4428325.846,2187.04706
465149.0594,4428348.806,2201.310672
465149.2535,4428371.082,2208.378786
465149.4508,4428393.395,2216.907289
465149.3653,4428415.986,2216.586563
465149.1951,4428438.655,2217.605162
465149.7123,4428460.668,2220.931931
465148.5581,4428483.175,2229.813166
465149.4176,4428505.298,2240.409171
465149.3436,4428527.893,2255.598381
465149.4247,4428550.138,2262.342759
465149.3988,4428573.601,2256.811204
465149.4852,4428594.739,2240.316912
465148.9987,4428617.583,2211.030359
465171.0428,4427967.35,2305.027796
465170.5593,4427989.782,2294.2595
465170.6711,4428011.994,2280.900071
465171.0672,4428035.105,2261.571097
465170.6746,4428057.031,2243.787603
465170.9128,4428079.443,2226.481642
465171.1494,4428101.582,2202.523653
465170.1703,4428123.85,2181.588045
465170.716,4428147.107,2164.44193
465170.8623,4428168.971,2144.252948
465171.1284,4428191.225,2128.072383
465171.6967,4428213.853,2118.965368
465171.8498,4428236.66,2122.475284
465171.1301,4428258.948,2121.176793
465171.0887,4428281.372,2130.071255
465171.2741,4428303.725,2152.220998
465171.0036,4428326.081,2179.005399
465171.8568,4428347.815,2184.143299
465170.897,4428371.211,2201.137229
465170.8836,4428393.47,2207.223848
465171.1814,4428416.12,2203.66477
465171.0449,4428438.628,2202.68731
465171.0206,4428460.381,2205.67574
465171.1201,4428481.873,2212.871588
465170.8692,4428505.82,2226.290224
465170.6337,4428527.81,2247.636581
465170.809,4428550.312,2264.080905
465170.5044,4428573.165,2262.361834
465170.4966,4428594.66,2235.032843
465170.7928,4428617.273,2208.074761
465191.7061,4427968.148,2315.525775
465192.7403,4427989.81,2305.82492
465192.7056,4428012.236,2288.411771
465193.0214,4428035.166,2265.213541
465192.7123,4428056.989,2244.449451
465192.9113,4428079.491,2219.938017
465192.8539,4428101.552,2204.086045
465193.2016,4428124.59,2201.507581
465193.0611,4428146.591,2186.321848
465193.0262,4428170.253,2155.892935
465193.131,4428191.729,2140.377802
465193.3142,4428214.328,2127.687571
465193.4212,4428235.744,2115.970039
465193.0692,4428258.882,2116.3376
465192.9743,4428281.292,2118.143925
465192.7429,4428303.874,2131.960953
465192.7128,4428326.334,2155.512497
465192.9442,4428349.028,2182.841162
465193.2137,4428369.929,2192.759273
465192.4914,4428393.272,2194.682696
465192.7861,4428416.352,2190.456041
465193,4428438.11,2188.825057
465192.7962,4428460.127,2189.993458
465193.0531,4428482.834,2196.37519
465192.9684,4428505.435,2207.95647
465193.2802,4428528.349,2229.035341
465193.2266,4428550.552,2244.155543
465192.6443,4428572.123,2253.224136
465192.8673,4428594.85,2231.523776
465192.7071,4428617.485,2206.116892
465214.5844,4427967.427,2328.494216
465214.3119,4427990.999,2316.078376
465215.1723,4428012.922,2289.50595
465215.0727,4428034.825,2266.91993
465214.9098,4428057.058,2246.898008
465214.34,4428079.235,2228.642682
465214.8501,4428102.075,2220.049388
465214.9062,4428124.323,2217.189718
465215.2316,4428146.799,2192.65635
465214.312,4428169.22,2165.016566
465214.1982,4428192.054,2155.695186
465214.0448,4428214.619,2143.923533
465214.5152,4428236.893,2124.991556
465215.1988,4428258.04,2116.305329
465214.7137,4428281.14,2113.691501
465215.0154,4428303.913,2121.651287
465214.6147,4428326.112,2142.679513
465214.3994,4428348.967,2176.215174
465214.9593,4428370.593,2182.343976
465215.1832,4428393.192,2179.719463
465214.6538,4428415.529,2175.33156
465213.618,4428438.576,2176.711917
465214.2464,4428460.192,2177.603938
465215.4811,4428482.732,2183.27563
465215.6269,4428505.57,2198.930746
465215.9103,4428527.654,2213.334308
465215.8819,4428550.298,2226.191289
465216.3477,4428572.518,2235.40765
465215.4678,4428595.044,2228.963901
465215.3525,4428617.42,2207.893876
465237.344,4427967.654,2338.600701
465236.4258,4427990.356,2322.720714
465236.8122,4428012.257,2291.708536
465236.7931,4428034.621,2272.664951
465236.7038,4428056.991,2256.815932
465237.0163,4428079.13,2245.813329
465236.8108,4428102.207,2233.563383
465236.2853,4428123.903,2215.238577
465236.6703,4428146.518,2190.457264
465236.4482,4428168.78,2179.224345
465237.1289,4428191.937,2172.619772
465236.4934,4428213.688,2159.389247
465236.6768,4428236.693,2141.130273
465236.1849,4428259.442,2125.531177
465236.7298,4428281.683,2110.678997
465236.8289,4428303.982,2114.006144
465237.2894,4428326.256,2131.871519
465236.8433,4428348.343,2158.585839
465236.9583,4428371.185,2171.330422
465236.4922,4428392.65,2164.494192
465236.7292,4428415.485,2157.843302
465236.4023,4428438.023,2162.006503
465236.0901,4428459.902,2159.550281
465236.011,4428484.126,2171.9042
465236.075,4428505.322,2185.064069
465235.9791,4428527.706,2191.574
465236.117,4428550.334,2209.82783
465235.8244,4428573.578,2221.858776
465236.1383,4428595.407,2227.985542
465235.8953,4428617.343,2207.229527
465258.3492,4427967.348,2335.544679
465259.1178,4427990.902,2317.285574
465258.2239,4428013.451,2296.916404
465258.9937,4428034.386,2280.845907
465258.9069,4428056.819,2264.809885
465258.8775,4428079.644,2248.284887
465258.7436,4428101.554,2230.683783
465258.8519,4428124.551,2213.38555
465259.4258,4428146.732,2204.308676
465259.0216,4428168.91,2195.947908
465259.1422,4428191.923,2184.930294
465258.8777,4428213.763,2169.811693
465258.9547,4428236.521,2149.203638
465258.3104,4428258.931,2136.878291
465259.8457,4428281.357,2120.275583
465258.7778,4428303.558,2107.830003
465258.6352,4428326.384,2116.492963
465258.7368,4428348.631,2142.707017
465258.4497,4428370.552,2163.672279
465258.5197,4428393.295,2148.822716
465258.6419,4428415.613,2140.624551
465258.2178,4428437.91,2141.535064
465258.7996,4428460.501,2142.892234
465259.0624,4428483.84,2163.683374
465258.3772,4428505.18,2165.036581
465258.5652,4428527.773,2180.910315
465258.3637,4428550.522,2189.86805
465258.6158,4428573.171,2196.498155
465258.6934,4428595.445,2233.178564
465258.9862,4428616.98,2226.193088
465280.6418,4427967.188,2333.881806
465280.7184,4427990.582,2317.840309
465280.7535,4428013.27,2301.478703
465280.3325,4428034.603,2285.685072
465280.4474,4428056.79,2270.658842
465280.842,4428079.632,2252.663869
465280.4014,4428101.369,2238.126309
465280.785,4428124.324,2226.502294
465280.8258,4428146.915,2217.203901
465280.4565,4428169.525,2208.905225
465280.2824,4428191.069,2197.864171
465280.6939,4428213.425,2185.193826
465280.8036,4428237.083,2161.600081
465280.9603,4428259.131,2145.37321
465280.2276,4428281.307,2125.000376
465280.5868,4428302.668,2109.089517
465280.765,4428326.053,2108.465236
465280.931,4428349.031,2128.118359
465280.6341,4428370.575,2144.149325
465280.7565,4428393.393,2131.799652
465280.592,4428415.487,2122.323566
465280.5921,4428438.37,2123.310758
465280.8908,4428461.035,2131.126652
465280.9548,4428482.724,2141.776529
465280.8784,4428505.355,2150.798476
465280.7529,4428528.028,2168.961154
465280.6985,4428550.377,2170.500048
465280.3974,4428573.27,2175.734345
465280.8543,4428595.532,2217.691043
465281.1659,4428617.39,2229.50062
465302.7275,4427967.112,2336.759363
465302.6445,4427990.639,2325.017159
465302.8101,4428012.841,2311.679992
465302.9746,4428034.71,2296.743657
465302.8636,4428056.613,2277.000164
465302.3837,4428079.431,2260.482194
465302.0933,4428101.751,2250.997941
465302.3369,4428124.541,2241.751157
465302.4124,4428146.681,2230.509189
465302.503,4428169.471,2225.345473
465302.6663,4428191.749,2212.788179
465303.2649,4428213.983,2193.181696
465302.5102,4428236.718,2180.486067
465302.5462,4428258.765,2166.65856
465302.6661,4428281.308,2142.65174
465303.2713,4428302.893,2109.308024
465302.3862,4428326.098,2104.258002
465302.1731,4428349.195,2114.680297
465302.5891,4428369.858,2123.630791
465302.2566,4428393.515,2114.395948
465302.0051,4428415.428,2106.972424
465302.4703,4428438.331,2114.459737
465302.5534,4428460.197,2113.257959
465302.0551,4428483.329,2123.651728
465302.7422,4428505.147,2132.738029
465302.4355,4428527.881,2149.621797
465302.2484,4428550.004,2155.582972
465302.3927,4428573.663,2161.000461
465302.3556,4428595.314,2189.340654
465302.6374,4428617.731,2212.843326
465324.3188,4427967.294,2340.551775
465324.6561,4427991.291,2330.3573
465324.6466,4428012.031,2315.672691
465324.3546,4428034.474,2298.946637
465324.0948,4428056.539,2283.855877
465324.2313,4428078.88,2277.772037
465324.6501,4428101.964,2273.850713
465324.9594,4428124.393,2257.173646
465324.8273,4428146.77,2242.921653
465325.4182,4428169.638,2226.407302
465325.4113,4428192.189,2221.29231
465324.7768,4428213.77,2207.427122
465325.156,4428236.383,2207.564703
465325.0517,4428259.139,2180.786973
465324.6389,4428281.46,2141.673382
465324.912,4428303.659,2111.98238
465324.5643,4428326.55,2100.322378
465324.7837,4428348.879,2106.12084
465323.8172,4428369.847,2105.313121
465324.8889,4428393.04,2104.050489
465325.3511,4428415.191,2113.212329
465324.8049,4428438.438,2114.242286
465324.7207,4428460.491,2135.385557
465324.9148,4428482.968,2135.28045
465324.7609,4428505.244,2126.865385
465323.9863,4428527.927,2131.232201
465324.3521,4428550.223,2140.144962
465324.6883,4428573.743,2147.752468
465325.5404,4428595.81,2174.363529
465324.2668,4428617.806,2195.164502
465347.0381,4427967.432,2340.854251
465346.3837,4427990.513,2328.544761
465346.3926,4428011.988,2315.701833
465346.5017,4428034.631,2306.735519
465346.804,4428056.686,2306.755745
465346.8669,4428079.561,2304.0889
465346.7227,4428102.195,2282.218692
465347.0128,4428124.182,2263.252746
465346.9728,4428146.757,2242.07967
465347.0323,4428169.362,2219.364793
465346.6539,4428192.032,2200.461163
465346.5952,4428214.243,2190.202936
465346.7793,4428236.478,2190.871017
465346.7966,4428258.469,2163.356787
465346.6774,4428281.507,2129.486907
465345.8612,4428302.916,2111.815952
465346.6895,4428325.414,2098.796315
465346.485,4428348.676,2103.682611
465346.6306,4428369.772,2102.539213
465345.9681,4428393.696,2112.744055
465346.4328,4428416.021,2125.585062
465346.2263,4428438.259,2136.020755
465346.6785,4428460.853,2164.790604
465346.2363,4428482.88,2158.710176
